,keyword
0,"broken air bags, car seller, lawyer, corrupt business, air bags"
1,"warranty mileage, warranty provider, mileage discrepancy, warranty work, warranty"
2,"appointment, call, different car, phone call, tuesday"
3,"business carvana, real customer reviews, carvana, refund, carvanas website"
4,"transaction, financing, car purchase, purchase process, refund"
5,"predatory loans, refinance, refinance process, high interest loan, refinancing"
6,"carvana car, insurance, carvana, subprime loan, loan"
7,"car carvana, previous car, car, much negative equity, repairs"
8,"name change, company, deposit, marriage, insane"
9,"arbitration, carvana, exchange vehicle, carfax history report, carfax"
10,"purchase vehicle, initial payment, payment, pre - approval, approved"
11,"warranty department, carvana, warranty, inspection, repairs"
12,"mechanical issues, significant mechanical issues, simple point inspection, point inspection, inspection"
13,"transmission replacement, vehicle carvana, transmission, carvana, warranty"
14,"carvana, vehicle, car, temporary plates, registration"
15,"day return policy, day return, return policy, return, scam"
16,"driver license, license, payment, pay, pay stubs"
17,"financing, carvana, refund, payment, approved"
18,"car carvana, black alloy rims, silver alloy rims, carvana, falsely advertised"
19,"carvana, car order, * * * * * * delivery fee, delivery fee, permit"
20,"old tags, insurance, tags, new truck, truck"
21,"carvana employee, carvanas problem, carvanas, jeeps inspection, carvana"
22,"carvana, deliver, delivery, horrible experience, customers"
23,"carvana, customer service, pickup, new pickup, deadline"
24,"paperwork, ai, problem, money, similar problem"
25,"front damage, bumper, dollar bumper, accident, damage"
26,"jeep wranglers, second jeep, jeep, cheapest rims, custom rims"
27,"car dealership, car ownership, dealership, worst company, a2014 kia * * * * *"
28,"carvana, dealership, new car, appointment, customers"
29,"rescheduled, delivery issue, customer service, delivery, deliver"
30,"carvana representative, carvana, scam, bank statements, tax"
31,"tires, cracked, day trial, bald, car"
32,"warranty process, actual dealership, preowned vehicle, warranty, rear camera"
33,"carvanas service, carvana, carvanas, carvana car, carvanas team"
34,"car carvana, carvana, dealership, car fax, scam"
35,"horrendous customer service, customer service, customer satisfaction, customer, service"
36,"carvana, scam, prepaid phone program, financing, loan"
37,"refund, bank, bank account, account, $"
38,"carvana inspection, car carvana, car inspection, sunroof, carvana lady"
39,"predatory loans, loans, predatory, real scumbag, business"
40,"rude customer service, carvana, shipping money, customer service, customer"
41,"fraudulent advertisement?never use carvana, refund, worst company, fraudulent, customer service"
42,"inspection, multi point inspection, point inspection, immediate maintenance issues, tires"
43,"bankruptcy, loan deposit, loan, refund, theft"
44,"biggest scammers, scammers, car payments, carvana, got car"
45,"delayed, delivery, vehicle w, total, vehicle"
46,"paperwork carvana, license plates registration, car carvana, carvana, license plates"
47,"bank account, payment, approved, bank, account"
48,"paystubs, different banks, scam, cosigner, banks"
49,"shipping delay, shipping cost, actual payments, hard credit check, shipping"
