,keyword,importance,total_importance
0,"broken air bags, car seller, lawyer, corrupt business, air bags",0.4594-0.4097-0.4001-0.3091-0.2842,1.86
1,"warranty mileage, warranty provider, mileage discrepancy, warranty work, warranty",0.6755-0.5409-0.506-0.4987-0.4912,2.71
2,"appointment, call, different car, phone call, tuesday",0.3416-0.281-0.2753-0.2713-0.2439,1.41
3,"business carvana, real customer reviews, carvana, refund, carvanas website",0.4572-0.4091-0.4066-0.4032-0.3952,2.07
4,"transaction, financing, car purchase, purchase process, refund",0.4496-0.4427-0.4359-0.3848-0.3705,2.08
5,"predatory loans, refinance, refinance process, high interest loan, refinancing",0.4747-0.4215-0.3656-0.3636-0.3567,1.98
6,"carvana car, insurance, carvana, subprime loan, loan",0.4493-0.3946-0.3606-0.3094-0.3075,1.82
7,"car carvana, previous car, car, much negative equity, repairs",0.4402-0.3928-0.3309-0.3208-0.3084,1.79
8,"name change, company, deposit, marriage, insane",0.4326-0.214-0.1876-0.171-0.1611,1.17
9,"arbitration, carvana, exchange vehicle, carfax history report, carfax",0.4301-0.4055-0.3981-0.3227-0.2922,1.85
10,"purchase vehicle, initial payment, payment, pre - approval, approved",0.4451-0.4108-0.3559-0.348-0.3219,1.88
11,"warranty department, carvana, warranty, inspection, repairs",0.4508-0.393-0.3723-0.3698-0.3418,1.93
12,"mechanical issues, significant mechanical issues, simple point inspection, point inspection, inspection",0.4618-0.4465-0.4316-0.4228-0.3841,2.15
13,"transmission replacement, vehicle carvana, transmission, carvana, warranty",0.5569-0.4894-0.4664-0.4104-0.3345,2.26
14,"carvana, vehicle, car, temporary plates, registration",0.5657-0.3456-0.3079-0.2973-0.2566,1.77
15,"day return policy, day return, return policy, return, scam",0.5321-0.4742-0.4599-0.3603-0.3434,2.17
16,"driver license, license, payment, pay, pay stubs",0.3958-0.3459-0.2706-0.2592-0.2582,1.53
17,"financing, carvana, refund, payment, approved",0.4094-0.3706-0.3586-0.3378-0.2794,1.76
18,"car carvana, black alloy rims, silver alloy rims, carvana, falsely advertised",0.4697-0.4454-0.4148-0.3865-0.3525,2.07
19,"carvana, car order, * * * * * * delivery fee, delivery fee, permit",0.5088-0.4325-0.3461-0.335-0.3257,1.95
20,"old tags, insurance, tags, new truck, truck",0.3302-0.3274-0.3153-0.3105-0.2654,1.55
21,"carvana employee, carvanas problem, carvanas, jeeps inspection, carvana",0.47-0.4554-0.3809-0.3784-0.3598,2.04
22,"carvana, deliver, delivery, horrible experience, customers",0.4868-0.4079-0.4015-0.3531-0.3473,2.0
23,"carvana, customer service, pickup, new pickup, deadline",0.3027-0.2938-0.2919-0.2912-0.2889,1.47
24,"paperwork, ai, problem, money, similar problem",0.3071-0.2841-0.0903-0.0888-0.081,0.85
25,"front damage, bumper, dollar bumper, accident, damage",0.4498-0.4391-0.3976-0.3318-0.2804,1.9
26,"jeep wranglers, second jeep, jeep, cheapest rims, custom rims",0.5514-0.4978-0.472-0.3396-0.3331,2.19
27,"car dealership, car ownership, dealership, worst company, a2014 kia * * * * *",0.4688-0.4498-0.4408-0.4346-0.3851,2.18
28,"carvana, dealership, new car, appointment, customers",0.5585-0.4844-0.3965-0.349-0.3465,2.13
29,"rescheduled, delivery issue, customer service, delivery, deliver",0.4252-0.401-0.3144-0.3031-0.2924,1.74
30,"carvana representative, carvana, scam, bank statements, tax",0.591-0.5569-0.4386-0.283-0.2747,2.14
31,"tires, cracked, day trial, bald, car",0.5288-0.3461-0.2367-0.2299-0.2297,1.57
32,"warranty process, actual dealership, preowned vehicle, warranty, rear camera",0.3861-0.3503-0.3414-0.3247-0.293,1.7
33,"carvanas service, carvana, carvanas, carvana car, carvanas team",0.6541-0.5635-0.5574-0.5497-0.5062,2.83
34,"car carvana, carvana, dealership, car fax, scam",0.5938-0.5374-0.4825-0.4727-0.4497,2.54
35,"horrendous customer service, customer service, customer satisfaction, customer, service",0.7215-0.5845-0.5625-0.4899-0.3746,2.73
36,"carvana, scam, prepaid phone program, financing, loan",0.5668-0.5062-0.4195-0.398-0.336,2.23
37,"refund, bank, bank account, account, $",0.5482-0.3571-0.3498-0.2562-0.2279,1.74
38,"carvana inspection, car carvana, car inspection, sunroof, carvana lady",0.4641-0.4154-0.3903-0.3771-0.3584,2.01
39,"predatory loans, loans, predatory, real scumbag, business",0.8372-0.6057-0.4189-0.3254-0.2873,2.47
40,"rude customer service, carvana, shipping money, customer service, customer",0.4888-0.4793-0.4194-0.404-0.3669,2.16
41,"fraudulent advertisement?never use carvana, refund, worst company, fraudulent, customer service",0.5219-0.4429-0.4299-0.3814-0.3775,2.15
42,"inspection, multi point inspection, point inspection, immediate maintenance issues, tires",0.4383-0.3908-0.338-0.3367-0.31,1.81
43,"bankruptcy, loan deposit, loan, refund, theft",0.4583-0.4249-0.3839-0.3633-0.2922,1.92
44,"biggest scammers, scammers, car payments, carvana, got car",0.4903-0.4719-0.4292-0.3167-0.3077,2.02
45,"delayed, delivery, vehicle w, total, vehicle",0.4347-0.4089-0.3664-0.3455-0.3382,1.89
46,"paperwork carvana, license plates registration, car carvana, carvana, license plates",0.6025-0.5539-0.5414-0.4702-0.4595,2.63
47,"bank account, payment, approved, bank, account",0.4288-0.4042-0.3925-0.3898-0.2754,1.89
48,"paystubs, different banks, scam, cosigner, banks",0.3474-0.3343-0.3326-0.3163-0.3107,1.64
49,"shipping delay, shipping cost, actual payments, hard credit check, shipping",0.48-0.3577-0.3272-0.3266-0.3078,1.8
50,"swap vehicle, car carvana, swap process 3rd, additional income verification, carvana",0.4329-0.3972-0.3469-0.3464-0.3403,1.86
51,"scam, insurance, car, send, bk",0.5102-0.3426-0.2786-0.2288-0.2203,1.58
52,"registration, bad customer service, plates, customer service, bad customer",0.5748-0.345-0.3399-0.3339-0.2738,1.87
53,"vehicle carvana, carvana, complaint, customer service, autozone",0.4607-0.3578-0.3252-0.324-0.3024,1.77
54,"broken windshields, windshield crack, insurance, windshield, front windshield",0.5418-0.5149-0.5017-0.4146-0.4052,2.38
55,"credit report, bank records, credit report .., 1040s, purchase vehicle",0.3211-0.2876-0.2794-0.2585-0.2567,1.4
56,"rear main seal, automotive repairs, costly repair, rear main seals, repair",0.4271-0.3839-0.3585-0.3554-0.3424,1.87
57,"carvana, lemon car, car, tow truck, tow",0.4479-0.3425-0.3258-0.2975-0.2856,1.7
58,"scam, employment verification, award letters, bank statements, social security",0.349-0.3389-0.2942-0.287-0.2664,1.54
59,"massive exhaust fumes, car carvana, expense, whole exhaust, exhaust",0.3733-0.3427-0.3184-0.2992-0.2812,1.61
60,"car, court, mad money, us, pay",0.3416-0.2759-0.2174-0.2058-0.197,1.24
61,"appointment, telephone number, week approval time, approval, telephone",0.4016-0.3928-0.297-0.271-0.2561,1.62
62,"car payments, original payment, payments, payment, higher car payments",0.4627-0.4474-0.4377-0.4036-0.3921,2.14
63,"carvana, false advertisement, vehicle, key features, car",0.4457-0.4281-0.3915-0.3544-0.3472,1.97
