,keyphrase
2230,"different temporary license plates, temporary licenses plate, temporary license plates, temporary license plate, last temporary license plate"
1156,"5)deceptive business practice, 3)deceptive business practice, 1)deceptive business practice, 4)deceptive business practice, deceptive practices"
1113,"consumer credit transaction, consumer credit, consumer credit transaction period, credit payments, credit transaction"
1867,"title lien, lien title, lien date, incorrect lien, lien"
3842,"purchase carvana, car carvana, carvana vehicle, carvanas possession, carvana"
856,"title lien, lien title, carvana lien, lien release, lien"
1916,"financed car december,02,2022, financed car, financed, car problems, payments"
3838,"carvana plates, contact carvana, car carvana, carvana, registration plates"
1417,"carvanas warranty, carvanas warranty office, carvana issue, preferred carvana dealer, contacted carvana"
2055,"4wd activation, 4wd, toyota 4runner, 4runner, 2wd"
552,"contact carvana, vehicle carvana, carvana february, carvana, carvana site"
641,"online carvana, carvana saturday, carvana, car online, ordered car"
3446,"warranty- carvana care, carvana warranty cars, carvana warranty, carvana care, car carvana"
2778,"car registration, registration plates, tag registration, registration, new registration"
3796,"temporary registration tags, temporary tags, temporary registration, registration tags, registration"
174,"carvana insurance, car insurance, insurance information, insurance, insurance card"
1310,"contact carvana, credit carvana, carvana, car insurance payment, car insurance"
2389,"car delivery date, delivery date, delivery eta, car delivery, ordered car"
1441,"contract carvana, carvana june, notice carvana, carvana, purchased vehicle"
1828,"carvana warranty, carvanas car sale privileges, carvana warranty company, vehicle carvana, contact carvana"
104,"refund eta, refund request, manual refund request, manual refund, refund"
2041,"vehicle carvana, car carvana, purchase car, unreliable vehicle carvana, rental car"
2072,"carvana customer care rep, carvana customer care, carvana customer, car carvana, check carvana"
130,"carvana car purchase, carvana business, carvana explanation, carvana car, carvana"
3486,"temporary license plate, * temporary license plate, additional temporary license tags, temporary license tags, contact carvana"
1327,"vehicle registration complaint body, complaint carvana, contact carvana, vehicle registration, temporary registration"
1098,"temporary tags, temporary tag, second temporary tag, first temporary tags, vehicle carvana"
3128,"agreement carvana offers, carvana offers, carvana, ordered car, delayed delivery"
3120,"dealership fraud, carvanas mistake, car 2/22/21.carvana, bad title cars, carvana"
2646,"credit carvana, amount carvana, consumer credit transaction, carvana, credit transaction"
1164,"directional tires, front right tire clearly, front right tire, tire, tire treads"
584,"carvana customer service, carvana customer, refund request, online carvana, refund"
2575,"contacted carvana, registration asap, registration paperwork, registration, register"
3457,"warranty company carvana, company carvana, vehicle, carvana, carvana denied"
3735,"vehicle title, title transfer request, title transfer, ohio car tags, title carvana"
1105,"fees carvana, additional fees, delivery fee, fees, possible delivery fee"
908,"carvana 's third party warranty provider, day warranty carvana, third party warranty provider, warranty provider, carvana"
227,"temporary registration carvana, registration carvana, return car, temporary registration, registration"
960,"purchase carvana, carvana damage, vehicle carvana, carvana vehicle, vehicle purchase"
3871,"payment carvana, carvana policy, carvana, carvana * *, different carvana"
1870,"standard carvana customer service, carvana customer service, carvana customer, customer service assist, customer service"
2577,"vehicle carvana, repair vehicle, vehicle repairs, purchased vehicle, carvana"
1110,"day warranty vehicle, vehicle repair, warranty, day warranty, repair shop"
2598,"new temporary tags, temporary tags, temporary tag, new temporary tag, permanent registration plates"
2065,"delivery delay, new delivery date, delivery date, new delivery, delivery"
3932,"purchase agreement carvana, auto loan, bank carvana, loan fee, dollar loan fee"
2360,"contact carvana, car carvana, carvana, carvana needs, vehicle transfer immediately"
3230,"title carvana, bank carvana, car carvana, carvana, car loan"
3976,"3rd temporary vehicle tag, vehicle tag, mississippi registration, registration asap, purchased vehicle"
677,"permanent registration plates, registration plates, temporary registration, permanent registration, permanent plates"
