,company,bbb_company_id,phone,user_rating_out_of_5,customer_review_1_date,customer_review_1,business_review_resposne_1_date,buisness_review_resposne_1
0,Carvana LLC,1126-1000037076,8003334554,1,07/17/2024,I was delivered a car with broken air bags that took 2 weeks to fix. I extended the 7 day to the *** to give the car I picked a chance to access. Do to their lack of communication am not allowed to swap for a different one. I am looking for a lawyer to attack this 1.61 rated car seller. Please advise if we can take down this corrupt business.,no response,No response
1,Carvana LLC,1126-1000037076,8003334554,1,07/17/2024,"Easy to buy from, and thats about it.Initial purchase was simple, simple process even with my own financing provided. Delivery was relatively smooth although it was delayed a few days (to be expected if you read their reviews)Problems started at the end of the delivery where there was a mileage discrepancy with the vehicle. They quickly made things right by reimbursing the mileage at a certain rate. But the major problem I have is that the car needs warranty work that they said they would address (cosmetic issues aren't usually covered unless noted within the return period). No problem right?Wrong, since they reported the wrong mileage to SilverRock (the warranty provider) the car exceeds the allowed warranty mileage and they said that this would be corrected. I've called multiple times and each time they noted to ""address the issue"" and it would be corrected int ***** business hours. Everytime I contacted silverrock they still shown the old mileage in their system and insisted I need to address with Carvana. Its been nearly 2 months I been battling this and still cannot use the warranty on the car and I've called every week since I've received the vehicle. I don't recommend, they make it easy to take your money. But thats about it.",no response,No response
2,Carvana LLC,1126-1000037076,8003334554,1,07/16/2024,"Purchased my vehicle with a large down payment over a week ago, scheduled drop off time was between 8-11 AM on Monday, July 15th. I received a call at 8:36 am that morning telling me that they don't have a title or registration for the vehicle and don't have a date for me to receive the car. Later that day, they changed my appointment to Wednesday, July 17th between 11am-2pm. I called them today, July 16th to confirm that my car would be delivered and was told that ""everything looks like it's good to go on our end"". Shortly after that phone call I got a notification that my appointment has been moved to Tuesday, July 23rd. I called back again and was told that they don't have the title, they also said ""maybe ***** lost it in the mail or something"" which is a bogus runaround answer that lacks accountability on their end. They keep suggesting that I pick a different car but I want the car that I PURCHASED. I was left with a ""maybe"" answer as to if it will be here by the 23rd or not. If I could give 0 stars for this company, I would. When I told them I was concerned about purchasing through them due to their negative reviews online I was told to ""take negative reviews with a grain of salt"". Is the BBB not a credible source of information when looking into a company like this? They are at 1.61 stars for a reason and all of my concerns that I had before my purchase are coming at me full force. I will be telling all of my friends, family, and everyone I encounter to never use this scam of a company.",no response,No response
3,Carvana LLC,1126-1000037076,8003334554,1,07/15/2024,"I give carvana a big fat ZERO they are the worst place to try to get a car from, they take your down payment before you are approved, then they keep asking for different proofs which you have already provided to them, then they refuse to give you the vehicle and a refund of the money they took again they do this before you even get approved its bad business. DO NOT DO BUSINESS WITH CARVANA THEY ARE THIEFS! They give you the run around about giving your money back also sont give you a vehicle that makes them THIEVES.AGAIN DO NOT DO BUSINESS WITH CARVANA THEY WILL RIP YOU OFF AND KEEP TELLING YOU YOUR REFUND HAS BEEN INITIATED WHICH IS A LIE ITS BEEN OVER 3 THREE WEEKS AND I HAVEN'T RECEIVED MY REFUN. AWFUL COMPANY I don't believe those 5 star reviews I'm certain they're not real customer reviews. There's no way they have that many or any honestly the crappy way they treat you after they steal your money and refuse to return it. If I could have given them a big fat no stars I would have unfortunately you have to give a star rating that's why it's 1 star there is no lesser option  there is nowhere on carvanas website to leave a review",no response,No response
4,Carvana LLC,1126-1000037076,8003334554,1,07/15/2024,"Just wanted to share my experience with a recent transaction with Carvana as a warning, especially if you plan to put money down on a car purchase.Last week I saw a truck I wanted on Carvana. The truck was supposed to be in stock locally and had a small delivery fee of $290. I started the process on a Wednesday and the listing said it could be delivered Sunday.During the purchase process I put $13,000 down on the truck. When I finished the process the delivery date changed to Monday.Sunday came and the delivery date was pushed out to Thursday. At this point I started wondering if they even had the vehicle. It was held by one of their partners.Later I was reviewing the financing when I noticed they didn't apply my down payment to the financing. They just financed the entire cost of the vehicle.This is when I lost all confidence in Carvana and called to cancel the deal. The rep said the deal was canceled and my down payment would be refunded. But, the next day I realized the transaction was not cancelled so I had to talk to another rep to get it done.Then the part that really hurts, I can expect my down payment back in 10 to 15 days. The money came out the minute I completed the forms. There is no indication of when the refund will be or has been issued. Now I have over $13,000 dollars tied up until they get around to returning it. I have scheduled 2 calls with Carvana and they haven't called me back.",no response,No response
5,Carvana LLC,1126-1000037076,8003334554,1,07/15/2024,"Look at all these bad review!!! Buy at your own risk. I purchased a vehicle from them in October. They **** me in falsely with their ease of purchasing online. Misleading estimated monthly payments and ease of purchase and vehicle inspections. I applied for their house financing. I never saw anything about apr until after I purchased vehicle. My fault completely. My credit alone should not have been an apr that high. PREDATORY LOANS. The vehicle they sold me. At 112 days the airbag warming light comes on. Car shakes when I stop. Transmission is slipping. They advertised a 150 point inspection. Thats a lie. The front bumper is obviously been impacted. The car fax shows previous accident. I believe my state requires it to be reported prior to purchase. They failed to apply for registration and title until the temp plates expired costing me more money to get plates. I tried to refinance and because they failed to register the plates I lost my refinance process. All while gaining interest on my already high interest loan. Its now July and the vehicle gives me whiplash when it shifts from gears while driving. Im so frustrated with them. Im stuck with this garbage vehicle that I purchased from them. The vehicles original purchase was $16,900 already overpriced for a 6 year old vehicle. With their in house financing in the end. If I had not secured refinancing. I would have paid a total of $32,000 for a $16,000 vehicle that probably wont last the length of the loan. So Im convinced many people end up upside down in the loans with them.  Please if there is any lawyer willing to bring a class action lawsuit against them. Their loan practices are misleading and their vehicles are garbage.",no response,No response
6,Carvana LLC,1126-1000037076,8003334554,1,07/12/2024,"make sure you can afford the insurance if you can get a subprime loan that might be affordable or renegotiatable but when you put the deposit they say you can have insurance until the day before receiving the vehicle, but in reality you have 24 hours and I'm sure in those 24 hour you will get more high quote than not for a carvana car. careful probably not worth it and they know exactly what they're doing,",no response,No response
7,Carvana LLC,1126-1000037076,8003334554,1,07/12/2024,"After purchasing a previous car from Carvana we decided to use them again to buy our teenage son a car.  We were happy to find a **** Focus with only ****** miles on it thinking it would last because my previous **** lasted to ******* miles.  **** than 3 weeks after purchase the car broke down on I4 and hasnt run correctly for more than a week since. We have spent more than $10,000 on repairs and on July 4th it was once again stranded our teenage son in the middle of a busy ******* intersection in the tourist district.  I guess this was better than the two times hes been broken down on I4 with cars flying by him.  We cant trade it because 1. It doesnt run and 2. Too much negative equity.  Negative equity we could have paid off had we not spent every ***** we have and maxed out credit cards to even keep it running.  Now its dead again and no one can figure out how to fix it.  Carvana says the car was fully inspected which is impossible considering it broke down less than 3 weeks after we bought it and has continued to break down since.  Its spent more time at the mechanic than it has on the road and our son is unable to work or commute to school.  Carvana has gone downhill and is selling c*** cars and refuse to stand by their product.  They lie about their inspection protocols.  Do not use them ever.",no response,No response
8,Carvana LLC,1126-1000037076,8003334554,1,07/11/2024,Can't believe a company this large would be so deceiving.  Took my $1200 deposit for shipping then sold my car elsewhere when I wasn't able to provide a proof of name change after marriage in a 24 hour window.  Insane.,no response,No response
9,Carvana LLC,1126-1000037076,8003334554,1,07/11/2024,"Don't buy from them. I did everything right. I checked the carfax history report before purchase and it supposedly passed their ""150 point inspection"" yet they failed to catch during their inspection the vehicle was in a major front end collision and repaired. Entire strut was replaced, my transmission was hit and rattles now, orange paint peel issues from  cover up work, and much more. They refuse to exchange the vehicle from their mess up even when I offered to exchange for an older and cheaper vehicle. A bunch of crooks! One advocate I spoke to said I'd get an exchange and the other said it's unheard of. I've gotten with plenty of lawyers who know carvana is a joke and are scammers. They're so confident in the case I have they're working off contingency. You have 72 hours to make this right before the arbitration is filed!",no response,No response
